id,cccd,ho_ten,dan_toc,noi_sinh,que_quan,gioi_tinh,ngay_sinh,quoc_tich
1,087055829042,Huỳnh Hữu An,Kinh,Tỉnh Hà Nam,Tỉnh Hà Nam,Nam,1984-07-24,Việt Nam
2,119359772743,Ngô Văn Bình,Kinh,Tỉnh Quảng Bình,Tỉnh Quảng Bình,Nam,1956-04-30,Việt Nam
3,470597133991,Bùi Hữu Hà,Kinh,Tỉnh Gia Lai,Tỉnh Gia Lai,Nam,1980-01-07,Việt Nam
4,114885197991,Nguyễn Thị Hà,Kinh,Tỉnh Hà Tĩnh,Tỉnh Hà Tĩnh,Nữ,2000-01-10,Việt Nam
5,793903405343,Huỳnh Hữu Thanh,Kinh,Tỉnh Yên Bái,Tỉnh Yên Bái,Nam,1966-07-11,Việt Nam
6,802424895121,Dương Hữu Lương,Kinh,Tỉnh Tây Ninh,Tỉnh Tây Ninh,Nam,1989-01-10,Việt Nam
7,281727760653,Phan Thị Bình,Kinh,Tỉnh Kiên Giang,Tỉnh Kiên Giang,Nữ,1965-04-25,Việt Nam
8,210083846154,Hoàng Hữu Nguyên,Kinh,Thành phố Đà Nẵng,Thành phố Đà Nẵng,Nam,1999-07-06,Việt Nam
9,519471164577,Ngô Hữu An,Kinh,Tỉnh Ninh Bình,Tỉnh Ninh Bình,Nam,1988-04-25,Việt Nam
10,308380585429,Trần Thị Anh,Kinh,Tỉnh Quảng Nam,Tỉnh Quảng Nam,Nữ,1962-03-30,Việt Nam
11,263741744847,Trần Thị Linh,Kinh,Thành phố Cần Thơ,Thành phố Cần Thơ,Nữ,1963-02-12,Việt Nam
12,480083375215,Ngô Hữu Linh,Kinh,Tỉnh Kiên Giang,Tỉnh Kiên Giang,Nam,1973-08-24,Việt Nam
13,309832422319,Đỗ Thị Nguyên,Kinh,Tỉnh Tiền Giang,Tỉnh Tiền Giang,Nữ,1956-02-09,Việt Nam
14,944282483499,Lý Văn Khánh,Kinh,Tỉnh Tuyên Quang,Tỉnh Tuyên Quang,Nam,1959-05-27,Việt Nam
15,089030786684,Lê Thị Thanh,Kinh,Tỉnh Quảng Ninh,Tỉnh Quảng Ninh,Nữ,1991-05-11,Việt Nam
16,468640017804,Ngô Văn Khánh,Kinh,Tỉnh Cao Bằng,Tỉnh Cao Bằng,Nam,1982-02-16,Việt Nam
17,763180773501,Lê Thị Nguyên,Kinh,Tỉnh Bắc Giang,Tỉnh Bắc Giang,Nữ,1977-08-01,Việt Nam
18,453053627945,Bùi Hữu Linh,Kinh,Thành phố Cần Thơ,Thành phố Cần Thơ,Nam,1954-05-25,Việt Nam
19,766068266054,Hoàng Hữu Hà,Kinh,Tỉnh Kiên Giang,Tỉnh Kiên Giang,Nam,1957-04-14,Việt Nam
20,417208268719,Lý Văn Bình,Kinh,Tỉnh Bến Tre,Tỉnh Bến Tre,Nam,1999-05-29,Việt Nam
21,148601140277,Nguyễn Văn Lương,Kinh,Tỉnh Hậu Giang,Tỉnh Hậu Giang,Nam,1984-08-01,Việt Nam
22,562066795865,Hồ Thị Khánh,Kinh,Tỉnh Bình Dương,Tỉnh Bình Dương,Nữ,1971-03-23,Việt Nam
23,478665364855,Đỗ Văn An,Kinh,Tỉnh Nghệ An,Tỉnh Nghệ An,Nam,1991-05-21,Việt Nam
24,737847727288,Đặng Hữu Khánh,Kinh,Tỉnh Hoà Bình,Tỉnh Hoà Bình,Nam,1995-04-01,Việt Nam
25,250785710028,Huỳnh Văn Khánh,Kinh,Tỉnh Bến Tre,Tỉnh Bến Tre,Nam,1986-05-18,Việt Nam
26,149798252551,Lê Hữu Nguyên,Kinh,Tỉnh Nam Định,Tỉnh Nam Định,Nam,1990-08-29,Việt Nam
27,767573414528,Lý Hữu Khánh,Kinh,Tỉnh Bắc Giang,Tỉnh Bắc Giang,Nam,1954-03-13,Việt Nam
28,579939435379,Trần Thị Tú,Kinh,Tỉnh Hà Nam,Tỉnh Hà Nam,Nữ,1959-01-06,Việt Nam
29,002094917150,Đỗ Văn Lương,Kinh,Tỉnh Lâm Đồng,Tỉnh Lâm Đồng,Nam,1977-03-05,Việt Nam
30,065989911008,Hoàng Hữu Tú,Kinh,Tỉnh Trà Vinh,Tỉnh Trà Vinh,Nam,1982-03-11,Việt Nam
31,173470473747,Võ Hữu Thanh,Kinh,Tỉnh Bạc Liêu,Tỉnh Bạc Liêu,Nam,1995-06-18,Việt Nam
32,939951558441,Trần Thị Thanh,Kinh,Thành phố Hải Phòng,Thành phố Hải Phòng,Nữ,1966-08-28,Việt Nam
33,132038058461,Hoàng Thị Hà,Kinh,Tỉnh Bến Tre,Tỉnh Bến Tre,Nữ,1986-02-22,Việt Nam
34,977910294154,Đỗ Văn Tâm,Kinh,Tỉnh Đồng Tháp,Tỉnh Đồng Tháp,Nam,1954-06-09,Việt Nam
35,057205003366,Vũ Văn Hà,Kinh,Tỉnh Hậu Giang,Tỉnh Hậu Giang,Nam,1980-06-12,Việt Nam
36,147527442455,Ngô Thị Khánh,Kinh,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Nữ,1970-01-31,Việt Nam
37,533238823886,Huỳnh Thị Thanh,Kinh,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Nữ,1974-01-06,Việt Nam
38,442245729868,Lý Thị Nguyên,Kinh,Tỉnh Lào Cai,Tỉnh Lào Cai,Nữ,1993-05-01,Việt Nam
39,437844499681,Bùi Văn Anh,Kinh,Tỉnh Sơn La,Tỉnh Sơn La,Nam,1988-01-14,Việt Nam
40,045224785986,Hoàng Thị Tú,Kinh,Tỉnh Đắk Nông,Tỉnh Đắk Nông,Nữ,1957-07-13,Việt Nam
41,936512753181,Nguyễn Hữu Lương,Kinh,Thành phố Đà Nẵng,Thành phố Đà Nẵng,Nam,1983-06-03,Việt Nam
42,106644595132,Bùi Thị Nguyên,Kinh,Tỉnh Cà Mau,Tỉnh Cà Mau,Nữ,1989-01-17,Việt Nam
43,421602403341,Huỳnh Hữu Tâm,Kinh,Tỉnh Hà Nam,Tỉnh Hà Nam,Nam,1959-07-05,Việt Nam
44,579066419368,Hoàng Thị Tú,Kinh,Tỉnh Bình Định,Tỉnh Bình Định,Nữ,1999-01-28,Việt Nam
45,745974892438,Lý Thị Nguyên,Kinh,Tỉnh Đắk Lắk,Tỉnh Đắk Lắk,Nữ,1977-08-02,Việt Nam
46,592042398361,Trần Thị An,Kinh,Tỉnh Đắk Lắk,Tỉnh Đắk Lắk,Nữ,1982-03-19,Việt Nam
47,891988214615,Nguyễn Thị Tâm,Kinh,Tỉnh Tiền Giang,Tỉnh Tiền Giang,Nữ,1995-08-20,Việt Nam
48,324828632044,Huỳnh Thị Khánh,Kinh,Tỉnh Cà Mau,Tỉnh Cà Mau,Nữ,2000-04-04,Việt Nam
49,134679600342,Đặng Hữu Khánh,Kinh,Thành phố Hà Nội,Thành phố Hà Nội,Nam,1982-01-27,Việt Nam
50,337769568607,Võ Thị Nguyên,Kinh,Tỉnh Tiền Giang,Tỉnh Tiền Giang,Nữ,1958-02-13,Việt Nam
51,783066263804,Võ Hữu An,Kinh,Tỉnh Cà Mau,Tỉnh Cà Mau,Nam,1955-01-06,Việt Nam
52,307172236007,Đỗ Hữu Tú,Kinh,Thành phố Cần Thơ,Thành phố Cần Thơ,Nam,1951-05-14,Việt Nam
53,199415513465,Bùi Thị Thanh,Kinh,Tỉnh Bạc Liêu,Tỉnh Bạc Liêu,Nữ,1982-05-01,Việt Nam
54,187521236211,Dương Hữu Anh,Kinh,Tỉnh Bình Phước,Tỉnh Bình Phước,Nam,1965-07-21,Việt Nam
55,192973245742,Lý Văn Anh,Kinh,Tỉnh Bắc Giang,Tỉnh Bắc Giang,Nam,1993-05-07,Việt Nam
56,781621514500,Hồ Thị Thanh,Kinh,Tỉnh Bắc Kạn,Tỉnh Bắc Kạn,Nữ,1987-01-24,Việt Nam
57,195241879276,Vũ Văn An,Kinh,Tỉnh Cao Bằng,Tỉnh Cao Bằng,Nam,1953-02-10,Việt Nam
58,606014193955,Hoàng Thị An,Kinh,Tỉnh Kon Tum,Tỉnh Kon Tum,Nữ,1958-01-22,Việt Nam
59,883368808059,Lý Văn Khánh,Kinh,Tỉnh Đồng Nai,Tỉnh Đồng Nai,Nam,1986-01-16,Việt Nam
60,670964573565,Đỗ Văn An,Kinh,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Nam,2000-07-06,Việt Nam
61,819143593747,Nguyễn Thị An,Kinh,Tỉnh Tiền Giang,Tỉnh Tiền Giang,Nữ,1997-05-25,Việt Nam
62,732428156894,Trần Thị Tú,Kinh,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Nữ,1983-03-10,Việt Nam
63,098394235364,Lê Văn Bình,Kinh,Tỉnh An Giang,Tỉnh An Giang,Nam,1971-09-04,Việt Nam
64,949387764379,Vũ Hữu Hà,Kinh,Tỉnh Gia Lai,Tỉnh Gia Lai,Nam,1985-05-22,Việt Nam
65,696156194078,Hoàng Hữu Khánh,Kinh,Thành phố Đà Nẵng,Thành phố Đà Nẵng,Nam,1978-03-01,Việt Nam
66,004340203546,Đỗ Văn Tú,Kinh,Tỉnh Vĩnh Long,Tỉnh Vĩnh Long,Nam,1978-05-08,Việt Nam
67,402851403810,Huỳnh Văn An,Kinh,Tỉnh Phú Yên,Tỉnh Phú Yên,Nam,1973-02-24,Việt Nam
68,749483978487,Bùi Thị Lương,Kinh,Thành phố Hồ Chí Minh,Thành phố Hồ Chí Minh,Nữ,1961-07-09,Việt Nam
69,668707596773,Dương Văn Tú,Kinh,Tỉnh Bắc Kạn,Tỉnh Bắc Kạn,Nam,1954-07-14,Việt Nam
70,817186455975,Bùi Hữu An,Kinh,Tỉnh Đắk Nông,Tỉnh Đắk Nông,Nam,1956-04-09,Việt Nam
71,462226019140,Lê Thị Khánh,Kinh,Tỉnh Đắk Lắk,Tỉnh Đắk Lắk,Nữ,1974-06-21,Việt Nam
72,296806738651,Lý Văn Tâm,Kinh,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Nam,1974-07-08,Việt Nam
73,447229333126,Ngô Thị Tâm,Kinh,Tỉnh Cà Mau,Tỉnh Cà Mau,Nữ,2000-06-25,Việt Nam
74,341919062893,Trần Văn Thanh,Kinh,Tỉnh Quảng Ninh,Tỉnh Quảng Ninh,Nam,1953-08-24,Việt Nam
75,615303162612,Đỗ Hữu Lương,Kinh,Tỉnh Phú Yên,Tỉnh Phú Yên,Nam,1996-04-01,Việt Nam
76,156106226609,Phạm Thị Tú,Kinh,Tỉnh Quảng Nam,Tỉnh Quảng Nam,Nữ,1951-03-14,Việt Nam
77,466397394479,Bùi Thị Tú,Kinh,Tỉnh Lâm Đồng,Tỉnh Lâm Đồng,Nữ,1953-07-10,Việt Nam
78,723427954887,Võ Thị Anh,Kinh,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Nữ,1998-02-17,Việt Nam
79,974806684918,Nguyễn Thị Khánh,Kinh,Thành phố Đà Nẵng,Thành phố Đà Nẵng,Nữ,1978-06-24,Việt Nam
80,421034794983,Hoàng Thị An,Kinh,Tỉnh Thừa Thiên Huế,Tỉnh Thừa Thiên Huế,Nữ,1971-07-03,Việt Nam
81,808452057166,Hoàng Văn Hà,Kinh,Tỉnh Quảng Ninh,Tỉnh Quảng Ninh,Nam,1956-06-13,Việt Nam
82,663301489688,Đặng Thị Khánh,Kinh,Tỉnh Phú Yên,Tỉnh Phú Yên,Nữ,2000-02-26,Việt Nam
83,007702886836,Hồ Thị Linh,Kinh,Tỉnh Thanh Hóa,Tỉnh Thanh Hóa,Nữ,1980-02-17,Việt Nam
84,911747978748,Ngô Hữu Nguyên,Kinh,Tỉnh Long An,Tỉnh Long An,Nam,1989-04-03,Việt Nam
85,443896614028,Ngô Thị Thanh,Kinh,Tỉnh Nghệ An,Tỉnh Nghệ An,Nữ,1978-07-15,Việt Nam
86,302770800033,Trần Hữu Linh,Kinh,Tỉnh Hà Tĩnh,Tỉnh Hà Tĩnh,Nam,1991-06-24,Việt Nam
87,249905602142,Võ Văn An,Kinh,Tỉnh Quảng Ninh,Tỉnh Quảng Ninh,Nam,1969-04-16,Việt Nam
88,694358032695,Lê Văn Nguyên,Kinh,Tỉnh Sóc Trăng,Tỉnh Sóc Trăng,Nam,1971-02-04,Việt Nam
89,848110286186,Ngô Hữu Linh,Kinh,Tỉnh Cao Bằng,Tỉnh Cao Bằng,Nam,1961-02-09,Việt Nam
90,450755180465,Bùi Thị Tú,Kinh,Tỉnh Quảng Bình,Tỉnh Quảng Bình,Nữ,1975-02-23,Việt Nam
91,671453767824,Phan Hữu Linh,Kinh,Tỉnh Gia Lai,Tỉnh Gia Lai,Nam,1971-06-03,Việt Nam
92,200427762466,Nguyễn Thị Hà,Kinh,Tỉnh Bến Tre,Tỉnh Bến Tre,Nữ,2000-05-28,Việt Nam
93,183579237297,Dương Văn Tâm,Kinh,Tỉnh Bạc Liêu,Tỉnh Bạc Liêu,Nam,1973-03-13,Việt Nam
94,748541196359,Huỳnh Hữu Tâm,Kinh,Thành phố Đà Nẵng,Thành phố Đà Nẵng,Nam,1968-01-01,Việt Nam
